# D,S,E,I_1,A,A_d,I_2,Y,R
4.322274820879101753e-03,1.559765660994017026e+03,1.036037817841786030e-01,3.516470003953067192e+01,5.496436110891047555e+00,8.987319946470421428e+00,4.911343340425585957e+00,4.536387093604732357e+00,9.983810302264183993e+05
4.322337335906922817e-03,1.559691980858183342e+03,8.506768918413983027e-02,2.884504165563167533e+01,4.509305483838884854e+00,7.371585277873933251e+00,4.028754804709215875e+00,3.721130845686997368e+00,9.983917428110474721e+05
4.322388675063848495e-03,1.559631539522192725e+03,6.794468885535154268e-02,2.366363329939670734e+01,3.683232442217764913e+00,6.061983790987611975e+00,3.303877071839893542e+00,3.052911569729346741e+00,9.984005305552261416e+05
4.322430817410349846e-03,1.559581960970200043e+03,5.357033787224228794e-02,1.941380582824517376e+01,3.002854338872723794e+00,4.990384931297628057e+00,2.709111718696511684e+00,2.504865209685309679e+00,9.984077391242343001e+05
4.322465392760932446e-03,1.559541308241957495e+03,4.728901540614693921e-02,1.592048027573411417e+01,2.491846555350722525e+00,4.065901526814774236e+00,2.223821052632240836e+00,2.053787316987666589e+00,9.984136512435497716e+05
4.322493565268814564e-03,1.559507966302147452e+03,4.359657949913574304e-02,1.305305781853270020e+01,2.085067292695361729e+00,3.295608212336040843e+00,1.826432349474810035e+00,1.683373499428916897e+00,9.984185005754522281e+05
4.322516848333179951e-03,1.559480594307661477e+03,3.211181654940840902e-02,1.071207777923727278e+01,1.679063342794092861e+00,2.733563683573224878e+00,1.496487756924456569e+00,1.381861649531452851e+00,9.984224799171468476e+05
4.322535940445959568e-03,1.559458150541544683e+03,2.606400857940916263e-02,8.787336709062392615e+00,1.374992828795597255e+00,2.244545752244568426e+00,1.227419204936443853e+00,1.133599903211761406e+00,9.984257435685156379e+05
4.322551540099084377e-03,1.559439741469434693e+03,2.141927590367301987e-02,7.208090591426836724e+00,1.128370792317750837e+00,1.840704871108201246e+00,1.006855598485686176e+00,9.298676102695615509e-01,9.984284206272395095e+05
4.322564462199807167e-03,1.559424641203232341e+03,1.768155022876480645e-02,5.912565657011795928e+00,9.267597447397196708e-01,1.508772749228675991e+00,8.259647777751519815e-01,7.627290924585212739e-01,9.984306165626608999e+05
4.322574823163449764e-03,1.559412252803784895e+03,1.420913665897348063e-02,4.850357249992719666e+00,7.572021615024263630e-01,1.240533474695231009e+00,6.773849449707719517e-01,6.257347495669600690e-01,9.984324180029039271e+05
4.322583670727908611e-03,1.559402092073489030e+03,1.161213187736514704e-02,3.978738937074605353e+00,6.206935217860425347e-01,1.018009301881793505e+00,5.556292520711777483e-01,5.132939249117171032e-01,9.984338956082733348e+05
4.322590655647218227e-03,1.559393758112171554e+03,9.634794717802295377e-03,3.263574129633734167e+00,5.102694405511069009e-01,8.339744454953175179e-01,4.558286152840197447e-01,4.210194773407320290e-01,9.984351076183941914e+05
4.322596476413309574e-03,1.559386921387117582e+03,7.905057062233872625e-03,2.677064803490428968e+00,4.185804899229089715e-01,6.840859175382515422e-01,3.739111120858428228e-01,3.453563855907524904e-01,9.984361018522507511e+05
4.322601249441504478e-03,1.559381313287535932e+03,6.472161685179318377e-03,2.195978945761052792e+00,3.432015651058718531e-01,5.612983848811629040e-01,3.067088088098177678e-01,2.832950321285614415e-01,9.984369174092129106e+05
4.322605207562446594e-03,1.559376713129915288e+03,5.323893328113930672e-03,1.801310122496549537e+00,2.817065194956784313e-01,4.602462467580156202e-01,2.515958838081793769e-01,2.323786945107726709e-01,9.984375864029045915e+05
4.322608234360814095e-03,1.559372939714574386e+03,4.386368079474390475e-03,1.477562893607065941e+00,2.313171326139564776e-01,3.773016747357059719e-01,2.063895798922087965e-01,1.906114746779835056e-01,9.984381351685535628e+05
4.322610795497894287e-03,1.559369844349248069e+03,3.584798480503228503e-03,1.212045783646703345e+00,1.895859235480307770e-01,3.096533274765946309e-01,1.692927534935027567e-01,1.563601950289397469e-01,9.984385853102582041e+05
4.322613123804330826e-03,1.559367305287922363e+03,2.940366216848951369e-03,9.942249098695903342e-01,1.555129653687541136e-01,2.540061682315045699e-01,1.388684551243963561e-01,1.282602072545585836e-01,9.984389545590269845e+05
4.322614753618836403e-03,1.559365222665676811e+03,2.426016918858778584e-03,8.155344164728297596e-01,1.277741429012743124e-01,2.081546533549958611e-01,1.139191734429843283e-01,1.052066320098155594e-01,9.984392574396844720e+05
4.322616267018020153e-03,1.559363514471616554e+03,2.021705266040002037e-03,6.689374650251821430e-01,1.052802853826446394e-01,1.702901455772635742e-01,9.346254452883613617e-02,8.629159776553994854e-02,9.984395058791686315e+05
4.322617314755916595e-03,1.559362112825651138e+03,1.641357105169108637e-03,5.487382925540007506e-01,8.610737024102740889e-02,1.399323620956524905e-01,7.665729149211071569e-02,7.078805694063712572e-02,9.984397096998265479e+05
4.322618246078491211e-03,1.559360962645236668e+03,1.280068845293110338e-03,4.501946665326600483e-01,6.965099053534012929e-02,1.157400711631191015e-01,6.284706925363213459e-02,5.808321767390259294e-02,9.984398769186524441e+05
4.322619177401065826e-03,1.559360019847086278e+03,1.058438105072717541e-03,3.692807787269276609e-01,5.725999344499768662e-02,9.481767112306166423e-02,5.155708534730513160e-02,4.764292701031498656e-02,9.984400140406399732e+05
4.322619759477674961e-03,1.559359246622828778e+03,8.937810989463378444e-04,3.028886025053367792e-01,4.734820522277666949e-02,7.740932138022439679e-02,4.230468363022657496e-02,3.907444732803336956e-02,9.984401265117161674e+05
4.322620341554284096e-03,1.559358612131314885e+03,7.336825289285176703e-04,2.484548433486949981e-01,3.884647044655854115e-02,6.349064758740373404e-02,3.470222690859428583e-02,3.205210813748167464e-02,9.984402187852694187e+05
4.322620807215571404e-03,1.559358091663605137e+03,6.018732084443257670e-04,2.038041991839451839e-01,3.186536366252754743e-02,5.208044854874763208e-02,2.846580245763844288e-02,2.629191382089406115e-02,9.984402944761146791e+05
4.322621156461536884e-03,1.559357664732549438e+03,4.942412571265056070e-04,1.671770277321760201e-01,2.614748975207625836e-02,4.271224689999941065e-02,2.335035617169315889e-02,2.156673764495604592e-02,9.984403565645468188e+05
